card;upright;reversed;symbolism
10-wheel-of-fortune;Symbolizes the mutable nature of existence, the inexorable cycles of life, the influence of destiny, and sudden turns that can radically change the course of events. It represents opportunities that arise unexpectedly, fortune that can be both benevolent and adverse, and the inevitability of change as a fundamental law of the universe. This card invites one to serenely embrace the flows of life, to adapt to circumstances, and to seize opportune moments that manifest.;(Wheel of Fortune Reversed) This position indicates a period of persistent misfortune, the arrival of negative and unwanted changes, obstinate resistance in the face of inevitable transformations, and a frustrating sense of feeling completely out of control of events. It may suggest that external forces are causing deep instability in one's life or that one is trapped in a negative cycle that seems to repeat endlessly, without possibility of interruption.;The Wheel of Fortune is traditionally depicted as a large wheel with various figures connected to it. One figure ascends upwards, symbolizing growing fortune, another is at its peak, representing the moment of maximum fortune, and a third plunges downwards, indicating misfortune or decline. These figures illustrate the cyclical nature of life and how fortune can change rapidly. The wheel is often surrounded by alchemical symbols and mythological figures, emphasizing its connection to cosmic forces and destiny. The presence of these figures also suggests that events are not random, but part of a larger, more mysterious order.
11-justice;Symbolizes deep inner balance, impartial fairness of judgment, the pursuit of truth in every situation, and respect for the law, understood as both human laws and universal karmic principles. This card represents the law of cause and effect, full responsibility for one's actions, and the imperative to make decisions based on objective and rational criteria. It is an urgent invitation to intellectual honesty and uncompromising moral integrity.;(Justice Reversed) This position indicates a situation of manifest injustice, a lack of balance and harmony, the presence of ingrained prejudices that influence judgment, and potential negative legal consequences arising from wrongful actions. It can also signal an obstinate refusal to take responsibility for one's actions, projecting blame onto others, or decisions tainted by blatant partiality and lack of objectivity.;Justice is traditionally depicted as an austere female figure, often seated, holding a perfectly balanced scale in one hand, symbolizing impartiality and careful weighing of facts, and an upright sword in the other, representing authority and the power to apply the law firmly. Her gaze is direct and penetrating, indicating her pursuit of truth. The background is often neutral or features architectural elements that emphasize the seriousness and impartiality of her function.
12-the-hanged-man;Symbolizes a phase of voluntary suspension from usual activities, a conscious sacrifice of a habitual perspective to acquire a completely new and illuminating one, and a period of patient and reflective waiting. This card represents the need to abandon old thought patterns or emotional attachments that limit personal growth, to observe situations from a radically different point of view. It is an invitation to patience, submission to the present moment, and acceptance of what cannot be immediately changed.;(The Hanged Man Reversed) This position indicates a frustrating and prolonged stalemate, a marked indecision that blocks any progress, a perceived useless and imposed sacrifice, strong resistance in the face of necessary changes for personal evolution, and a tendency to feel like a victim of circumstances, unable to influence one's destiny. It can also signal a period of unnerving waiting that does not lead to positive results, or a persistent inability to consider situations from an alternative perspective, remaining trapped in old thought patterns.;The Hanged Man is traditionally depicted as a man hanging from a tree or a gallows by one foot, with his head pointing downwards. This inverted position suggests an unconventional viewpoint and the ability to see things differently. His face is often serene and illuminated, indicating voluntary submission and inner peace despite the uncomfortable situation. His hands are often tied behind his back, symbolizing his physical helplessness but also his inner strength and acceptance. The tree or gallows can be interpreted as symbols of sacrifice and connection to the divine.
13-death;Represents the inevitable conclusion of an existential cycle, a profound and radical transformation, and the promise of subsequent rebirth. It does not necessarily refer to physical death in a literal sense, but rather to the end of a significant phase of life to make way for something completely new. It symbolizes an epochal change, the need to eliminate what is superfluous and obsolete to progress towards a new reality.;(Death Reversed) This position signals strong resistance to change, a paralyzing fear of the end of an era, stagnation that prevents any evolution, and a deep inability to let go of the past, clinging to what is no longer needed. It may indicate a necessary transformation that is blocked or delayed due to one's rigidity, thus causing prolonged and avoidable suffering.;The Death card is often depicted with a skeleton, a universal symbol of death and transformation, riding a white or black horse, representing purity and the unknown respectively. The skeleton may hold a flag with mystical symbols or be surrounded by people from all walks of life, emphasizing that death is an event that affects everyone. The rising sun in the background symbolizes rebirth and hope after the end. The scythe he sometimes carries represents the severing of ties to the past and the elimination of the old to make way for the new.
14-temperance;Symbolizes the attainment of harmonious balance between opposing forces, the practice of moderation in every aspect of life, and the ability to integrate different elements into a cohesive single unit. It represents patience as an essential virtue, constructive cooperation with others, the process of inner and outer healing, and the wisdom to find a middle ground that leads to harmony. This card invites one to blend energies in a balanced way, avoiding excesses and seeking the right measure in every situation.;(Temperance Reversed) This position indicates a lack of balance and harmony in one's life, a tendency towards various excesses, the presence of unresolved inner conflicts, and a lack of patience and moderation in one's actions and reactions. It may signal disharmony in relationships, impatience that leads to rushed decisions, and difficulty in finding a compromise or integrating different aspects of one's personality or existence.;Temperance is traditionally depicted as an angel or winged figure pouring liquid from one chalice to another, symbolizing the mixing and balancing of elements. One foot of the angel may be in water and the other on land, representing the balance between the conscious and unconscious or between the material and spiritual. Often in the background, there is a path leading towards a luminous horizon, indicating the path to harmony and inner peace through moderation and balance. The angel wears flowing and serene robes, emphasizing its peaceful and harmonious nature.
15-the-devil;Represents a strong attachment to material possessions, the presence of addictive dependencies that shackle the will, obsessions that dominate thought, the inner shadow that manifests, and self-imposed chains that limit freedom. It symbolizes temptations that deviate from the right path, voluntary ignorance that hinders growth, excessive materialism that clouds spiritual values, and unhealthy power dynamics based on control and manipulation. This card is an urgent invitation to recognize and free oneself from negative bonds that imprison the soul.;(The Devil Reversed) This position signals a moment of breaking free from oppressive chains, a liberation from harmful dependencies or attachments, and a growing awareness of one's negative dynamics. It can indicate overcoming a strong temptation that threatened to compromise one's well-being, or the end of an oppressive situation that limited freedom. In some cases, it may also reflect an abuse of power by others or a tendency to exercise it inappropriately.;The Devil is traditionally depicted as a composite figure with animal and human elements, often standing on a pedestal to which two smaller figures, a man and a woman, are chained. The latter are loosely bound, symbolizing that the chains are actually self-imposed and that freedom is possible. The Devil often holds a lit torch, which can represent illusion or forbidden knowledge. The symbols on his head and body can have occult or alchemical meanings, emphasizing his dark and tempting nature. The background is often dark and fiery, evoking an environment of desire and perdition.
16-the-tower;Symbolizes the sudden and unexpected destruction of structures, both physical and mental, that are based on unstable foundations or illusions. It represents a catastrophic change that shakes certainties, a shocking revelation that leads to truth, the fall of ego and its pretensions, and a final liberation through an inevitable and painful crisis.;(The Tower Reversed) This position indicates an intense fear of impending catastrophe, a desperate attempt to avoid a necessary albeit painful change, or a crisis that, while less intense than expected, prolongs over time causing greater suffering. It may also signal a persistent feeling of imminent danger or, paradoxically, liberation from an inner prison that limited personal growth.;The Tower is traditionally illustrated as a tall, solid tower struck by lightning, which destroys it and causes people to fall from its windows. This dramatic event symbolizes the sudden collapse of old structures and beliefs. The lightning represents an external force or a sudden truth that leads to necessary destruction for reconstruction. The falling people can represent the ego and false securities that are swept away. The background is often stormy and chaotic, emphasizing the violence and the inevitability of change.
17-the-star;Represents a luminous beacon of hope in the darkness, a source of inspiration that uplifts the spirit, a process of deep healing of wounds, a rediscovered inner serenity, and a privileged connection with the divine or universal energies. It symbolizes renewed faith in the future, a generosity of spirit that manifests freely, lasting inner peace, and spiritual guidance that illuminates the path after a period of difficulty and upheaval (often symbolized by the Tower card).;(The Star Reversed) This position signals a loss of faith in the future, an overwhelming sense of despair, a paralyzing pessimism that obscures all positive prospects, and a deep discouragement in the face of challenges. It can indicate a period of spiritual and emotional barrenness, a feeling of disconnection from one's intuition and inner guidance, or a loss of contact with one's deepest aspirations and dreams.;The Star is traditionally depicted as a naked female figure by a body of water, pouring water from two amphorae: one into the water itself and the other onto the land. This gesture symbolizes the healing and nourishment of spirit and body. Above her shine eight stars, one of which is larger and brighter than the others, representing chakras or different forms of spiritual energy. Her nudity symbolizes purity and vulnerability. The background is often a serene, nocturnal landscape, indicating hope and renewal after darkness.
18-the-moon;Symbolizes the realm of illusion and uncertainty, unconscious fears emerging from the depths of the soul, powerful intuition guiding through darkness, and natural cycles influencing mood and emotions. It represents the dream world, vivid imagination that can lead to both creativity and deception, and the need to listen carefully to one's inner voice, while remaining cautious of deceptive appearances and bravely facing one's deepest fears.;(The Moon Reversed) This position indicates a mental confusion that gradually dissipates, fears that are finally overcome through awareness, and hidden truths that emerge into the light of consciousness. It can signal the end of a prolonged period of uncertainty and deception, or a newfound ability to consciously manage one's anxieties and fears, without being overwhelmed.;The Moon is traditionally depicted with a large full moon in the night sky, that radiates a mysterious and ambiguous light. Beneath the moon are often two towers, representing the boundaries between the conscious and unconscious world. An uncertain path winds between the towers, symbolizing the journey through the unknown. A wolf and a dog howl at the moon, representing wild and domestic instincts respectively. A crayfish or other crustacean emerges from the water, symbolizing fears and desires coming from the depths of the unconscious. The drops falling from the moon can represent emotional influence and natural cycles.
19-the-sun;Represents radiant and contagious joy, inexhaustible vitality pervading every aspect of existence, full and well-deserved success, mental clarity dispelling all doubt, and unwavering optimism looking to the future with confidence. It symbolizes the enlightenment of truth that unravels every mystery, a positive energy that nourishes and sustains, and profound personal fulfillment leading to contentment and serenity. It is a card radiating intense happiness, self-confidence, and a welcoming warmth that illuminates everything it touches.;(The Sun Reversed) This position signals an optimism that appears clouded by fleeting clouds, success that is slow to arrive or manifests less brilliantly than expected, and a temporary lack of clarity or enthusiasm in pursuing one's goals. It may indicate transient difficulties in seeing the positive side of situations, or an achievement that, while positive, does not bring the hoped-for joy and satisfaction.;The Sun is traditionally depicted as a large shining sun in the blue sky, radiating golden rays towards the earth. Beneath the sun are often two children playing carefree, symbolizing joy, innocence, and vitality. A wall of sunflowers may form the background, representing happiness and positive energy. The sun itself is a symbol of enlightenment, clarity, and truth. Its energy nourishes life and brings growth and fulfillment.
20-judgment;Represents a profound inner awakening, a moment of critical evaluation of one's life and actions, a spiritual rebirth that leads to a new understanding of oneself and one's purpose. This card symbolizes an inner call to a higher level of existence, an invitation to honestly assess one's past, to forgive oneself and others for any mistakes made, and to free oneself from the bonds of the past to fully embrace a new, more authentic and conscious phase of life.;(Judgment Reversed) This position indicates a tendency towards excessive and paralyzing self-criticism, an intense fear of others' judgment that prevents one from acting freely, an obstinate refusal to forgive oneself or those who have caused suffering, and a chronic difficulty in letting go of past burdens. It embodies a significant opportunity for personal renewal that is lost due to one's rigidity or difficulty in listening to and following one's true inner calling.;The Judgment card is typically illustrated with an angel blowing a trumpet, awakening naked figures emerging from their tombs below. This awakening symbolizes a call to renewal and awareness. The figures raise their arms in surrender or acceptance of judgment. The background is often a bright sky, indicating a revelation or a moment of clarity. The angel represents a higher force that brings truth and justice, while the resurrected figures symbolize transformation and the possibility of a new beginning after a period of introspection and evaluation.
21-the-world;Represents the culmination of a journey, the achievement of a significant goal, a sense of completeness and integration of all aspects of one's existence. It symbolizes the harmonious conclusion of an important life cycle, the full and satisfying success of a long-pursued goal, a sense of totality and deep connection with the surrounding universe. It is the card that embodies the fullness of joy, inner satisfaction, and the sense of accomplished realization.;(The World Reversed) This position signals a feeling of incompleteness despite successes achieved, the frustration of goals remaining unattainable just before the finish line, or a feeling of being stuck in a phase of stasis that prevents full realization. It can also indicate a sense of inner emptiness despite external appearances of success, or the pressing need to complete emotional or project cycles that have remained pending, preventing a new beginning.;The World card is traditionally depicted with a dancing figure, often female, surrounded by a ghirland of laurel, a symbol of victory and success. At the four corners of the card appear the symbols of the four evangelists or the four elements (angel/man, lion, bull, eagle), that represent the totality of the universe and cosmic harmony. The central figure is often semi-naked, to symbolize the liberation and the completion. The dance represents the harmonious movement of life and the attainment of perfect balance.
22-ace-of-wands;Represents a powerful initial spark of creative energy, a primal impulse that drives action and innovation. It is a vibrant invitation to embark on new adventures and projects with boldness, passion, and contagious enthusiasm. It symbolizes pure and unexpressed potential, an inexhaustible source of inspiration, and the vital force that animates every new beginning.;(Ace of Wands Reversed) This position reveals a marked lack of initiative and motivation, vital energy that appears blocked and inert, brilliant ideas that fail to materialize, a sense of false starts that leads to frustration, and projects that experience continuous delays or fail to take off. It can also indicate a deep sense of creative impotence, a difficulty in expressing one's potential.;The Ace of Wands is usually depicted as a knotted wand sprouting new leaves, symbolizing growth, energy, and potential. A hand emerging from a cloud often grasps the wand, representing a divine force or an opportunity being offered. The sprouting leaves symbolize creativity and the beginning of something new. The energy emanating from the card is palpable, suggesting a moment of great inspiration and possibility.
23-two-of-wands;Indicates a crucial moment of strategic planning and conscious choice of one's future path. A first important milestone has been reached, and now the gaze turns to the horizon, carefully evaluating the next moves to make and one's deepest ambitions. It represents a clear vision of long-term goals, the necessary audacity to pursue them, and a phase of meticulous preparation for a significant expansion of one's horizons.;(Two of Wands Reversed) This position reveals paralyzing indecision that blocks any progress, an irrational fear of facing the new and unknown, poorly conceived plans lacking a solid foundation, a lack of foresight and a clear vision of the future, and the frustrating feeling of being trapped between two equally appealing options but unable to make a definitive decision.;The Two of Wands often shows a male figure standing, holding a globe and a wand, while another wand is fixed to a nearby wall. The globe symbolizes dominion and global ambitions, while the wands represent power and decision. His elevated position suggests a broad vision and the ability to look beyond the immediate. His attire indicates a certain comfort and power. The scene conveys a sense of contemplation and planning for the future.
24-three-of-wands;Symbolizes a phase of confident and serene contemplation of results that will follow an action undertaken with determination. The ships visible on the horizon foretell the arrival of unexpected new opportunities or a significant expansion of one's personal and professional boundaries. It is the card that embodies the ability to foresee future developments, the prosperity of commerce, and an initial phase of promising growth.;(Three of Wands Reversed) This position foretells plans that do not materialize as hoped, frustrating delays in expanding one's projects, a lack of foresight that prevents anticipating challenges, disappointing final results compared to initial expectations, and a marked difficulty in looking ahead with optimism or seizing unexpected opportunities.;The Three of Wands often depicts a figure standing on a cliff, looking towards three wands stuck in the ground and towards ships sailing in the distance. His elevated position gives him a broad perspective on the future. The wands represent initial efforts and projects started, while the ships symbolize the arrival of new opportunities, trade, and expansion. His expression is one of confident waiting, knowing that his efforts will bear fruit.
25-four-of-wands;Represents a rediscovered harmony, a reassuring stability, and a moment of joyful celebration, often related to the domestic, family, or community sphere. It is a period of shared happiness, of successful completion of an important phase of a project or life, and of well-deserved rest and gratification in a safe, welcoming, and affectionate environment.;(Four of Wands Reversed) This position reveals a lack of harmony in the domestic environment or within the community, a celebration that is ruined by unforeseen events or experiences significant delays, a feeling of instability and precariousness, a painful sense of not belonging to one's social or family context, and a particularly difficult and destabilizing transitional phase.;The Four of Wands typically shows an image of festa and welcome, with people dancing or relaxing under a baldacchino decorated with flowers and fruit. Four upright wands symbolize stability, security, and the solid foundations achieved. This card conveys a sense of joy, harmony, and celebration of the results obtained. It also represents a moment of peace and tranquility after a period of work or effort.
26-five-of-wands;Indicates the presence of open conflicts, fierce competition, and significant disagreements within a group or in a specific situation. It can represent stimulating challenges, unexpected obstacles, or power struggles for personal affirmation. It is an urgent invitation to manage tensions constructively, seeking to transform competition into a stimulus for growth and collective improvement, rather than a destructive and sterile battle.;(Five of Wands Reversed) This position foretells the end of a conflict often due to the exhaustion of energies involved, a strong desire to avoid any form of direct confrontation, an inner tension that is not openly expressed and generates discomfort, a situation of forced or superficial harmony that hides latent resentments, and a paralyzing fear of facing competition, preferring submission to action.;The Five of Wands often depicts a group of people wielding wands in a seemingly chaotic and disordered manner. This image symbolizes competition, conflict, and the struggle for supremacy. However, it is not necessarily about violence, but rather a challenge or a test of strength. The card invites one to confront different opinions and find a way to collaborate despite differences.
27-six-of-wands;Symbolizes public and recognized success, a well-deserved victory that brings honor and prestige. After a period of intense effort and dedication, sincere praise and approval from others are received. It is the card that embodies consistent progress towards one's goals, natural leadership that is recognized and respected, and self-confidence that has been earned through concrete actions and tangible results.;(Six of Wands Reversed) This position reveals an unexpected failure despite efforts made, a lack of recognition for one's merits, an attitude of arrogance and presumption after an ephemeral success, the reception of bad news that cloud joy, deep doubts about one's abilities, and a sense of victory that appears fragile or undeserved, leaving a bitter taste.;The Six of Wands typically shows a figure riding a white horse through a festive crowd, waving wands in triumph and acclamation. This image represents public success, recognition, and honor. The figure on the horse is often dressed triumphantly, symbolizing leadership and earned respect. The cheering crowd indicates community approval and support.
28-seven-of-wands;Represents the need to bravely and determinedly defend one's position or convictions against unexpected challenges or the opposition of those who do not share the same ideas. It is a powerful symbol of unwavering perseverance, inner courage, and the importance of fighting tenaciously for what one firmly believes in, even when the odds seem unfavorable.;(Seven of Wands Reversed) This position signals feeling overwhelmed by adverse circumstances, a tendency to surrender prematurely in the face of challenges, a lack of conviction in the validity of one's ideas, an excessively defensive attitude even when there is no real threat, the painful loss of one's position due to lack of fighting spirit, and a deep sense of physical and emotional exhaustion in the face of difficulties.;The Seven of Wands often depicts a figure standing on a height, wielding a wand to defend against six other wands being directed at him from below. This image symbolizes defending one's position, tenacity, and the courage to face opposition. His elevated position gives him a strategic advantage, but the numerical disparity represents the challenge to be overcome.
29-eight-of-wands;Indicates a period of rapid movement and progress, an acceleration of events, and the imminent arrival of significant communications. It often foreshadows important news that can change the course of events, sudden trips, or the quick and unexpected conclusion of pending situations. It is a card charged with dynamic energy that pushes towards conflict resolution and goal achievement with surprising speed.;(Eight of Wands Reversed) This position reveals frustrating delays hindering progress, blocked or even negative news causing concern, actions taken hastily and chaotically leading to confusion, a marked lack of direction and a coherent action plan, obstinate resistance to necessary changes, and communications that are interrupted or misunderstood, generating further complications.;The Eight of Wands is traditionally depicted with eight wands flying rapidly through the air, often diagonally, symbolizing speed, movement, and rapid action. There are no human figures in the card, which emphasizes the unstoppable force of rapidly unfolding events. The background is often an open landscape, suggesting freedom of movement and the absence of significant obstacles. This card evokes a sense of urgency and imminent change.
30-nine-of-wands;Symbolizes remarkable resilience in the face of adversity, deep-rooted inner strength, and meticulous preparation to face one last significant challenge. Despite past emotional wounds or battles, one is ready to defend their boundaries and convictions once more with renewed determination. It represents the ability to resist pressures, firm determination in pursuing one's goals, and a state of vigilant attention to prevent further difficulties.;(Nine of Wands Reversed) This position reveals profound exhaustion of one's physical and emotional resources, a tendency towards paranoia and unjustified suspicion, the overwhelming feeling of being constantly under attack from external forces, a categorical refusal to compromise even when it would be advantageous, a mental rigidity that prevents adaptation to new circumstances, and the resurgence of an old emotional wound that returns to cause pain and suffering.;The Nine of Wands often shows a figure leaning on a wand, with eight other wands erected behind him, like a defensive barricade. His posture suggests weariness but also readiness for defense. Visible bandages or wounds indicate he has already faced challenges, but his determined expression reveals his resilience and willingness to fight again. This card symbolizes the inner strength that manifests after overcoming many trials.
31-ten-of-wands;Indicates the overwhelming burden of excessive responsibility, taking on too many responsibilities simultaneously that inevitably lead to high stress and a suffocating sense of oppression. It is an urgent invitation to learn to delegate tasks, establish clear priorities to avoid overload, and recognize one's human limits to prevent physical and emotional exhaustion that could have negative consequences on overall health and well-being.;(Ten of Wands Reversed) This position reveals a marked inability to trust others and delegate tasks even when necessary, an imminent physical and emotional collapse under the unbearable weight of accumulated responsibilities, the desperate desire to free oneself from a burden too heavy to bear alone, a painful feeling of being exploited and manipulated by others, and a chronic stress level that begins to manifest with significant health problems.;The Ten of Wands is traditionally depicted with a figure bent under the weight of ten wands carried on their back. This image illustrates the burden of excessive responsibilities, stress, and the difficulty of moving forward when overwhelmed. The figure appears exhausted and struggles to continue the journey. This card symbolizes the weight of obligations and the need to lighten one's load.
